intent	count
start_clean	6277
start_sweep	2434
start_mop	2048
start_back_station	1512
come_here_clean	1501
start_sweep_and_mop	1118
come_here_sweep	808
come_here	640
move	616
start_generate_map	529
info_elec_status	519
come_here_mop	517
stop_clean	377
info_action_status	371
start_exit_duck	351
continue_clean	274
info_consumable	265
set_air_suction	261
start_collect_dust	194
info_location_status	190
info_clean_progress	189
info_error_status	186
start_drying	177
stop_sweep	153
set_schedule	149
stop_back_station	137
view_schedule	132
info_todo_time	121
stop_mop	110
come_here_sweep_and_mop	108
info_clean_completed_space	96
up_suction	71
continue_sweep	69
stop_drying	59
delete_schedule	54
continue_mop	50
info_suction	38
stop_sweep_and_mop	35
info_complete_time	29
down_suction	28
continue_sweep_and_mop	28
pause_clean	28
info_clean_unfinished_space	27
stop_generate_map	25
continue_back_station	22
info_clean_next_space	19
info_clean_space	18
continue_generate_map	18
pause_back_station	17
continue_drying	13
pause_sweep	13
pause_mop	10
stop_exit_duck	8
stop_collect_dust	8
continue_exit_duck	7
pause_drying	6
pause_generate_map	5
continue_collect_dust	4
pause_exit_duck	2
pause_sweep_and_mop	2
close_dnd_mode	0
close_laser_assistant	0
open_ai_recognition	0
move_location	0
gesture_name	0
follow_me	0
follow_me_clean	0
follow_me_mop	0
follow_me_sweep	0
follow_me_sweep_and_mop	0
go_away	0
delete_dnd_mode	0
pause_key_clean	0
close_carpet_pressurization	0
close_childlock	0
open_carpet_avoidance	0
continue_clean_roller	0
start_key_clean	0
close_voice_assistant	0
stop_key_clean	0
close_station_light	0
continue_key_clean	0
open_childlock	0
open_carpet_pressurization	0
close_carpet_avoidance	0
stop_clean_roller	0
turn	0
start_clean_roller	0
set_dnd_mode	0
down_water_volume	0
info_mop_water_volume	0
pause_collect_dust	0
set_water_volume	0
pause_clean_roller	0
up_water_volume	0
ban_clean	0
ban_clean_here	0
ban_clean_there	0
ban_mop_here	0
ban_mop_there	0
ban_sweep_and_mop_here	0
ban_sweep_and_mop_there	0
ban_sweep_here	0
ban_sweep_there	0
open_station_light	0
open_laser_assistant	0
come_here_key_clean	0
open_dnd_mode	0
close_ai_recognition	0
