intent	count
start_clean	31913
start_sweep	10370
start_mop	7803
start_sweep_and_mop	3546
come_here	3299
set_schedule	2687
continue_clean	2680
stop_clean	2297
come_here_clean	2078
ban_clean	1540
go_away	1456
info_location_status	1265
come_here_sweep	1164
view_schedule	1079
stop_sweep	688
set_air_suction	587
delete_schedule	571
start_drying	566
come_here_mop	559
info_consumable	532
start_generate_map	519
ban_clean_here	441
continue_sweep	411
stop_mop	392
follow_me	346
pause_clean	307
ban_sweep_here	301
set_water_volume	298
continue_mop	281
stop_drying	134
continue_sweep_and_mop	131
up_suction	128
pause_sweep	125
up_water_volume	119
come_here_sweep_and_mop	99
ban_mop_here	79
ban_clean_there	71
down_water_volume	69
down_suction	68
stop_sweep_and_mop	63
ban_sweep_there	61
info_suction	60
continue_generate_map	59
pause_mop	51
continue_drying	40
info_mop_water_volume	33
ban_mop_there	30
pause_drying	23
pause_sweep_and_mop	20
stop_generate_map	16
ban_sweep_and_mop_here	14
pause_generate_map	11
ban_sweep_and_mop_there	6
open_carpet_pressurization	6
close_carpet_pressurization	3
follow_me_sweep_and_mop	0
follow_me_sweep	0
follow_me_mop	0
follow_me_clean	0
continue_key_clean	0
start_key_clean	0
stop_key_clean	0
come_here_key_clean	0
pause_key_clean	0
close_ai_recognition	0
turn	0
close_carpet_avoidance	0
info_elec_status	0
info_complete_time	0
info_clean_unfinished_space	0
info_clean_space	0
info_clean_progress	0
info_clean_next_space	0
info_clean_completed_space	0
info_action_status	0
gesture_name	0
delete_dnd_mode	0
continue_exit_duck	0
continue_collect_dust	0
continue_clean_roller	0
continue_back_station	0
close_voice_assistant	0
close_station_light	0
close_laser_assistant	0
close_dnd_mode	0
close_childlock	0
info_error_status	0
info_todo_time	0
move	0
pause_exit_duck	0
stop_collect_dust	0
stop_clean_roller	0
stop_back_station	0
start_exit_duck	0
start_collect_dust	0
start_clean_roller	0
start_back_station	0
set_dnd_mode	0
pause_collect_dust	0
move_location	0
pause_clean_roller	0
pause_back_station	0
open_station_light	0
open_laser_assistant	0
open_dnd_mode	0
open_childlock	0
open_carpet_avoidance	0
open_ai_recognition	0
stop_exit_duck	0
