version,ts,seg,deviceId,fc,pk,ak,logId,messageId,content,dir,dataana,extended
2.1,2024-07-04 21:12:20.247,IOT2ASR,ze0mpx229x9z0zP000_000213078,ze0mpx,229x9z0z,P000_000213078,9EE7AF73-58CF-4498-BC18-3BD99EA36960,17200987279402,"{""bdvs-version"": ""2.0.0"", ""directives"": [{""header"": {""namespace"": ""bdvs.capability.extensions"", ""name"": ""SetResource"", ""dialogRequestId"": ""17200987279402"", ""messageId"": ""17200987279402"", ""shouldBlock"": false}, ""payload"": {""extension"": ""{\""origin\"":{\""query\"":\""强力扫拖\"",\""encoding\"":\""utf8\"",\""results\"":[{\""sequence\"":1,\""domain\"":\""roborock_parameter_control\"",\""intent\"":\""set_air_suction\"",\""slots\"":{\""gear\"":[{\""slot_type\"":\""STRING\"",\""text\"":\""强力\"",\""value\"":\""103\""}]}},{\""sequence\"":2,\""domain\"":\""roborock_clean_function\"",\""intent\"":\""start_sweep_and_mop\"",\""slots\"":{}}]}}""}}], ""session"": {""write_session"": true, ""is_dialog_finish"": true, ""is_garbage_query"": false, ""sys_action"": [], ""dialog_state"": null, ""multi_dialog_state"": {""active_domain"": null, ""active_intent"": null, ""requested_slot_values"": {}, ""repeated_ask_num"": 0}, ""third_data"": null}, ""status"": 200, ""timestamp"": 1720098740021}",ResponseNluHandle,"{""payload"": {""extension"": ""{\""origin\"":{\""query\"":\""强力扫拖\"",\""encoding\"":\""utf8\"",\""results\"":[{\""sequence\"":1,\""domain\"":\""roborock_parameter_control\"",\""intent\"":\""set_air_suction\"",\""slots\"":{\""gear\"":[{\""slot_type\"":\""STRING\"",\""text\"":\""强力\"",\""value\"":\""103\""}]}},{\""sequence\"":2,\""domain\"":\""roborock_clean_function\"",\""intent\"":\""start_sweep_and_mop\"",\""slots\"":{}}]}}""}, ""query"": ""强力扫拖""}",
2.1,2024-07-04 21:00:28.782,IOT2ASR,ze0mpx229x9z0zP000_000263778,ze0mpx,229x9z0z,P000_000263778,5E945CB7-DE69-4F8E-8489-09B62C3B6106,17200980184701,"{""bdvs-version"": ""2.0.0"", ""directives"": [{""header"": {""namespace"": ""bdvs.capability.extensions"", ""name"": ""SetResource"", ""dialogRequestId"": ""17200980184701"", ""messageId"": ""17200980184701"", ""shouldBlock"": false}, ""payload"": {""extension"": ""{\""origin\"":{\""query\"":\""强力扫拖模式\"",\""encoding\"":\""utf8\"",\""results\"":[{\""sequence\"":1,\""domain\"":\""roborock_parameter_control\"",\""intent\"":\""set_air_suction\"",\""slots\"":{\""gear\"":[{\""slot_type\"":\""STRING\"",\""text\"":\""强力\"",\""value\"":\""103\""}]}},{\""sequence\"":2,\""domain\"":\""roborock_clean_function\"",\""intent\"":\""start_sweep_and_mop\"",\""slots\"":{}}]}}""}}], ""session"": {""write_session"": true, ""is_dialog_finish"": true, ""is_garbage_query"": false, ""sys_action"": [], ""dialog_state"": null, ""multi_dialog_state"": {""active_domain"": null, ""active_intent"": null, ""requested_slot_values"": {}, ""repeated_ask_num"": 0}, ""third_data"": null}, ""status"": 200, ""timestamp"": 1720098028712}",ResponseNluHandle,"{""payload"": {""extension"": ""{\""origin\"":{\""query\"":\""强力扫拖模式\"",\""encoding\"":\""utf8\"",\""results\"":[{\""sequence\"":1,\""domain\"":\""roborock_parameter_control\"",\""intent\"":\""set_air_suction\"",\""slots\"":{\""gear\"":[{\""slot_type\"":\""STRING\"",\""text\"":\""强力\"",\""value\"":\""103\""}]}},{\""sequence\"":2,\""domain\"":\""roborock_clean_function\"",\""intent\"":\""start_sweep_and_mop\"",\""slots\"":{}}]}}""}, ""query"": ""强力扫拖模式""}",
2.1,2024-07-04 21:17:51.176,IOT2ASR,ze0mpx229x9z0zP000_000232777,ze0mpx,229x9z0z,P000_000232777,06D7C0F6-3485-4632-A75A-44DF625B3443,17200990639580,"{""bdvs-version"": ""2.0.0"", ""directives"": [{""header"": {""namespace"": ""bdvs.capability.voice_output"", ""name"": ""Speak"", ""dialogRequestId"": ""17200990639580"", ""messageId"": ""17200990639580"", ""shouldBlock"": false}, ""payload"": {""format"": ""TEXT"", ""content"": ""抱歉，没听清您的指令，您可以重新描述一遍"", ""token"": ""bd4adfc0757f5dbe92064c5afbac0a78"", ""tts_param"": ""{\""pit\"":5,\""vol\"":10,\""spd\"":5,\""rate\"":16,\""per\"":4148,\""audio_ctrl\"":\""{\\\""reverb\\\"":0}\"",\""pdt\"":10212,\""aue\"":3,\""key\"":\""com.baidu.tts.iot\"",\""lan\"":\""ZH\"",\""xml\"":0}""}}, {""header"": {""namespace"": ""bdvs.capability.extensions"", ""name"": ""SetResource"", ""dialogRequestId"": ""17200990639580"", ""messageId"": ""17200990639580"", ""shouldBlock"": false}, ""payload"": {""extension"": ""{\""origin\"":{\""query\"":\""强力清扫客厅\"",\""encoding\"":\""utf8\"",\""results\"":[{\""domain\"":\""roborock_other_function\"",\""intent\"":\""low_confidence_clarification\"",\""slots\"":null}]},\""actionList\"":[{\""name\"":\""device.listen\"",\""arg\"":{}}]}""}}], ""session"": {""write_session"": true, ""is_dialog_finish"": true, ""is_garbage_query"": false, ""sys_action"": [], ""dialog_state"": null, ""multi_dialog_state"": {""active_domain"": null, ""active_intent"": null, ""requested_slot_values"": {}, ""repeated_ask_num"": 0}, ""third_data"": null}, ""status"": 200, ""timestamp"": 1720099071126}",ResponseNluHandle,"{""payload"": {""extension"": ""{\""origin\"":{\""query\"":\""强力清扫客厅\"",\""encoding\"":\""utf8\"",\""results\"":[{\""sequence\"":1,\""domain\"":\""roborock_parameter_control\"",\""intent\"":\""set_air_suction\"",\""slots\"":{\""gear\"":[{\""slot_type\"":\""STRING\"",\""text\"":\""强力\"",\""value\"":\""103\""}]}},{\""sequence\"":2,\""domain\"":\""roborock_clean_function\"",\""intent\"":\""start_clean\"",\""slots\"":{\""location\"":[{\""slot_type\"":\""STRING\"",\""text\"":\""客厅\"",\""value\"":\""R:6258483\""}]}}]}}""}, ""query"": ""强力清扫客厅""}",
2.1,2024-07-04 21:17:40.511,IOT2ASR,ze0mpx229x9z0zP000_000232777,ze0mpx,229x9z0z,P000_000232777,67FDAD4B-DEAC-4019-A475-599BF5A6A286,17200990528097,"{""bdvs-version"": ""2.0.0"", ""directives"": [{""header"": {""namespace"": ""bdvs.capability.voice_output"", ""name"": ""Speak"", ""dialogRequestId"": ""17200990528097"", ""messageId"": ""17200990528097"", ""shouldBlock"": false}, ""payload"": {""format"": ""TEXT"", ""content"": ""抱歉，没听清您的指令，您可以重新描述一遍"", ""token"": ""8b3d5ffc03f18eb89eb2ffb98a38254c"", ""tts_param"": ""{\""pit\"":5,\""vol\"":10,\""spd\"":5,\""rate\"":16,\""per\"":4148,\""audio_ctrl\"":\""{\\\""reverb\\\"":0}\"",\""pdt\"":10212,\""aue\"":3,\""key\"":\""com.baidu.tts.iot\"",\""lan\"":\""ZH\"",\""xml\"":0}""}}, {""header"": {""namespace"": ""bdvs.capability.extensions"", ""name"": ""SetResource"", ""dialogRequestId"": ""17200990528097"", ""messageId"": ""17200990528097"", ""shouldBlock"": false}, ""payload"": {""extension"": ""{\""origin\"":{\""query\"":\""开始强力清洁客厅\"",\""encoding\"":\""utf8\"",\""results\"":[{\""domain\"":\""roborock_other_function\"",\""intent\"":\""low_confidence_clarification\"",\""slots\"":null}]},\""actionList\"":[{\""name\"":\""device.listen\"",\""arg\"":{}}]}""}}], ""session"": {""write_session"": true, ""is_dialog_finish"": true, ""is_garbage_query"": false, ""sys_action"": [], ""dialog_state"": null, ""multi_dialog_state"": {""active_domain"": null, ""active_intent"": null, ""requested_slot_values"": {}, ""repeated_ask_num"": 0}, ""third_data"": null}, ""status"": 200, ""timestamp"": 1720099060463}",ResponseNluHandle,"{""payload"": {""extension"": ""{\""origin\"":{\""query\"":\""开始强力清洁客厅\"",\""encoding\"":\""utf8\"",\""results\"":[{\""sequence\"":1,\""domain\"":\""roborock_parameter_control\"",\""intent\"":\""set_air_suction\"",\""slots\"":{\""gear\"":[{\""slot_type\"":\""STRING\"",\""text\"":\""强力\"",\""value\"":\""103\""}]}},{\""sequence\"":2,\""domain\"":\""roborock_clean_function\"",\""intent\"":\""start_clean\"",\""slots\"":{\""location\"":[{\""slot_type\"":\""STRING\"",\""text\"":\""客厅\"",\""value\"":\""R:6258483\""}]}}]}}""}, ""query"": ""开始强力清洁客厅""}",
2.1,2024-07-04 21:27:19.031,IOT2ASR,ze0mpx229x9z0zP000_000036535,ze0mpx,229x9z0z,P000_000036535,B930913F-7584-45DE-AEB4-AF33C5AFB94C,17200996260471,"{""bdvs-version"": ""2.0.0"", ""directives"": [{""header"": {""namespace"": ""bdvs.capability.extensions"", ""name"": ""SetResource"", ""dialogRequestId"": ""17200996260471"", ""messageId"": ""17200996260471"", ""shouldBlock"": false}, ""payload"": {""extension"": ""{\""origin\"":{\""query\"":\""强力扫厨房\"",\""encoding\"":\""utf8\"",\""results\"":[{\""sequence\"":1,\""domain\"":\""roborock_parameter_control\"",\""intent\"":\""set_air_suction\"",\""slots\"":{\""gear\"":[{\""slot_type\"":\""STRING\"",\""text\"":\""强力\"",\""value\"":\""103\""}]}},{\""sequence\"":2,\""domain\"":\""roborock_clean_function\"",\""intent\"":\""start_sweep\"",\""slots\"":{\""location\"":[{\""slot_type\"":\""STRING\"",\""text\"":\""厨房\"",\""value\"":\""R:6549804\""}]}}]}}""}}], ""session"": {""write_session"": true, ""is_dialog_finish"": true, ""is_garbage_query"": false, ""sys_action"": [], ""dialog_state"": null, ""multi_dialog_state"": {""active_domain"": null, ""active_intent"": null, ""requested_slot_values"": {}, ""repeated_ask_num"": 0}, ""third_data"": null}, ""status"": 200, ""timestamp"": 1720099638971}",ResponseNluHandle,"{""payload"": {""extension"": ""{\""origin\"":{\""query\"":\""强力扫厨房\"",\""encoding\"":\""utf8\"",\""results\"":[{\""sequence\"":1,\""domain\"":\""roborock_parameter_control\"",\""intent\"":\""set_air_suction\"",\""slots\"":{\""gear\"":[{\""slot_type\"":\""STRING\"",\""text\"":\""强力\"",\""value\"":\""103\""}]}},{\""sequence\"":2,\""domain\"":\""roborock_clean_function\"",\""intent\"":\""start_sweep\"",\""slots\"":{\""location\"":[{\""slot_type\"":\""STRING\"",\""text\"":\""厨房\"",\""value\"":\""R:6549804\""}]}}]}}""}, ""query"": ""强力扫厨房""}",
2.1,2024-07-04 09:22:30.935,IOT2ASR,ze0mpx229x9z0zP000_000163825,ze0mpx,229x9z0z,P000_000163825,80474003-04A6-4E8D-8E71-08C80834B321,17200561397874,"{""bdvs-version"": ""2.0.0"", ""directives"": [{""header"": {""namespace"": ""bdvs.capability.extensions"", ""name"": ""SetResource"", ""dialogRequestId"": ""17200561397874"", ""messageId"": ""17200561397874"", ""shouldBlock"": false}, ""payload"": {""extension"": ""{\""origin\"":{\""query\"":\""强力打扫卫生\"",\""encoding\"":\""utf8\"",\""results\"":[{\""sequence\"":1,\""domain\"":\""roborock_parameter_control\"",\""intent\"":\""set_air_suction\"",\""slots\"":{\""gear\"":[{\""slot_type\"":\""STRING\"",\""text\"":\""强力\"",\""value\"":\""103\""}]}},{\""sequence\"":2,\""domain\"":\""roborock_clean_function\"",\""intent\"":\""start_clean\"",\""slots\"":{}}]}}""}}], ""session"": {""write_session"": true, ""is_dialog_finish"": true, ""is_garbage_query"": false, ""sys_action"": [], ""dialog_state"": null, ""multi_dialog_state"": {""active_domain"": null, ""active_intent"": null, ""requested_slot_values"": {}, ""repeated_ask_num"": 0}, ""third_data"": null}, ""status"": 200, ""timestamp"": 1720056150898}",ResponseNluHandle,"{""payload"": {""extension"": ""{\""origin\"":{\""query\"":\""强力打扫卫生\"",\""encoding\"":\""utf8\"",\""results\"":[{\""sequence\"":1,\""domain\"":\""roborock_parameter_control\"",\""intent\"":\""set_air_suction\"",\""slots\"":{\""gear\"":[{\""slot_type\"":\""STRING\"",\""text\"":\""强力\"",\""value\"":\""103\""}]}},{\""sequence\"":2,\""domain\"":\""roborock_clean_function\"",\""intent\"":\""start_clean\"",\""slots\"":{}}]}}""}, ""query"": ""强力打扫卫生""}",
2.1,2024-07-04 10:41:19.690,IOT2ASR,ze0mpx229x9z0zP000_000243136,ze0mpx,229x9z0z,P000_000243136,4A9865EA-552B-473A-8F35-C4D1137A2BA3,17200608679931,"{""bdvs-version"": ""2.0.0"", ""directives"": [{""header"": {""namespace"": ""bdvs.capability.extensions"", ""name"": ""SetResource"", ""dialogRequestId"": ""17200608679931"", ""messageId"": ""17200608679931"", ""shouldBlock"": false}, ""payload"": {""extension"": ""{\""origin\"":{\""query\"":\""全屋强力扫地\"",\""encoding\"":\""utf8\"",\""results\"":[{\""sequence\"":1,\""domain\"":\""roborock_parameter_control\"",\""intent\"":\""set_air_suction\"",\""slots\"":{\""gear\"":[{\""slot_type\"":\""STRING\"",\""text\"":\""强\"",\""value\"":\""强\""}]}},{\""sequence\"":2,\""domain\"":\""roborock_clean_function\"",\""intent\"":\""start_sweep\"",\""slots\"":{\""location\"":[{\""slot_type\"":\""STRING\"",\""text\"":\""全屋\"",\""value\"":\""1000\""}]}}]}}""}}], ""session"": {""write_session"": true, ""is_dialog_finish"": true, ""is_garbage_query"": false, ""sys_action"": [], ""dialog_state"": null, ""multi_dialog_state"": {""active_domain"": null, ""active_intent"": null, ""requested_slot_values"": {}, ""repeated_ask_num"": 0}, ""third_data"": null}, ""status"": 200, ""timestamp"": 1720060879648}",ResponseNluHandle,"{""payload"": {""extension"": ""{\""origin\"":{\""query\"":\""全屋强力扫地\"",\""encoding\"":\""utf8\"",\""results\"":[{\""sequence\"":1,\""domain\"":\""roborock_parameter_control\"",\""intent\"":\""set_air_suction\"",\""slots\"":{\""gear\"":[{\""slot_type\"":\""STRING\"",\""text\"":\""强\"",\""value\"":\""强\""}]}},{\""sequence\"":2,\""domain\"":\""roborock_clean_function\"",\""intent\"":\""start_sweep\"",\""slots\"":{\""location\"":[{\""slot_type\"":\""STRING\"",\""text\"":\""全屋\"",\""value\"":\""1000\""}]}}]}}""}, ""query"": ""全屋强力扫地""}",
2.1,2024-07-04 20:00:41.973,IOT2ASR,ze0mpx229x9z0zP000_000273169,ze0mpx,229x9z0z,P000_000273169,E6BCD155-CADE-47CB-B609-42BCF51C7FD6,17200944293913,"{""bdvs-version"": ""2.0.0"", ""directives"": [{""header"": {""namespace"": ""bdvs.capability.voice_output"", ""name"": ""Speak"", ""dialogRequestId"": ""17200944293913"", ""messageId"": ""17200944293913"", ""shouldBlock"": false}, ""payload"": {""format"": ""TEXT"", ""content"": ""抱歉，没听清您的指令，您可以重新描述一遍"", ""token"": ""d726812f12603e4b03ba77ff0e7b9429"", ""tts_param"": ""{\""pit\"":5,\""vol\"":10,\""spd\"":5,\""rate\"":16,\""per\"":4148,\""audio_ctrl\"":\""{\\\""reverb\\\"":0}\"",\""pdt\"":10212,\""aue\"":3,\""key\"":\""com.baidu.tts.iot\"",\""lan\"":\""ZH\"",\""xml\"":0}""}}, {""header"": {""namespace"": ""bdvs.capability.extensions"", ""name"": ""SetResource"", ""dialogRequestId"": ""17200944293913"", ""messageId"": ""17200944293913"", ""shouldBlock"": false}, ""payload"": {""extension"": ""{\""origin\"":{\""query\"":\""强力清洁厨房和卫生间\"",\""encoding\"":\""utf8\"",\""results\"":[{\""domain\"":\""roborock_other_function\"",\""intent\"":\""low_confidence_clarification\"",\""slots\"":null}]},\""actionList\"":[{\""name\"":\""device.listen\"",\""arg\"":{}}]}""}}], ""session"": {""write_session"": true, ""is_dialog_finish"": true, ""is_garbage_query"": false, ""sys_action"": [], ""dialog_state"": null, ""multi_dialog_state"": {""active_domain"": null, ""active_intent"": null, ""requested_slot_values"": {}, ""repeated_ask_num"": 0}, ""third_data"": null}, ""status"": 200, ""timestamp"": 1720094441932}",ResponseNluHandle,"{""payload"": {""extension"": ""{\""origin\"":{\""query\"":\""强力清洁厨房和卫生间\"",\""encoding\"":\""utf8\"",\""results\"":[{\""sequence\"":1,\""domain\"":\""roborock_parameter_control\"",\""intent\"":\""set_air_suction\"",\""slots\"":{\""gear\"":[{\""slot_type\"":\""STRING\"",\""text\"":\""强力\"",\""value\"":\""103\""}]}},{\""sequence\"":2,\""domain\"":\""roborock_clean_function\"",\""intent\"":\""start_clean\"",\""slots\"":{\""composite_location\"":[{\""slot_type\"":\""DICT\"",\""text\"":\""厨房和卫生间\"",\""value\"":{\""relation\"":\""location he location\"",\""norm_value\"":\""1014 he 1015\""}}]}}]}}""}, ""query"": ""强力清洁厨房和卫生间""}",
2.1,2024-07-04 20:39:17.219,IOT2ASR,ze0mpx229x9z0zP000_000023830,ze0mpx,229x9z0z,P000_000023830,D0AF17BF-46C6-48FA-AB4B-863B7A78FF0C,17200967434317,"{""bdvs-version"": ""2.0.0"", ""directives"": [{""header"": {""namespace"": ""bdvs.capability.extensions"", ""name"": ""SetResource"", ""dialogRequestId"": ""17200967434317"", ""messageId"": ""17200967434317"", ""shouldBlock"": false}, ""payload"": {""extension"": ""{\""origin\"":{\""query\"":\""强力拖客厅\"",\""encoding\"":\""utf8\"",\""results\"":[{\""sequence\"":1,\""domain\"":\""roborock_parameter_control\"",\""intent\"":\""set_air_suction\"",\""slots\"":{\""gear\"":[{\""slot_type\"":\""STRING\"",\""text\"":\""强力\"",\""value\"":\""103\""}]}},{\""sequence\"":2,\""domain\"":\""roborock_clean_function\"",\""intent\"":\""start_mop\"",\""slots\"":{\""location\"":[{\""slot_type\"":\""STRING\"",\""text\"":\""客厅\"",\""value\"":\""R:3873856\""}]}}]}}""}}], ""session"": {""write_session"": true, ""is_dialog_finish"": true, ""is_garbage_query"": false, ""sys_action"": [], ""dialog_state"": null, ""multi_dialog_state"": {""active_domain"": null, ""active_intent"": null, ""requested_slot_values"": {}, ""repeated_ask_num"": 0}, ""third_data"": null}, ""status"": 200, ""timestamp"": 1720096757176}",ResponseNluHandle,"{""payload"": {""extension"": ""{\""origin\"":{\""query\"":\""强力拖客厅\"",\""encoding\"":\""utf8\"",\""results\"":[{\""sequence\"":1,\""domain\"":\""roborock_parameter_control\"",\""intent\"":\""set_air_suction\"",\""slots\"":{\""gear\"":[{\""slot_type\"":\""STRING\"",\""text\"":\""强力\"",\""value\"":\""103\""}]}},{\""sequence\"":2,\""domain\"":\""roborock_clean_function\"",\""intent\"":\""start_mop\"",\""slots\"":{\""location\"":[{\""slot_type\"":\""STRING\"",\""text\"":\""客厅\"",\""value\"":\""R:3873856\""}]}}]}}""}, ""query"": ""强力拖客厅""}",
2.1,2024-07-04 07:26:18.815,IOT2ASR,ze0mpx229x9z0zP000_000221548,ze0mpx,229x9z0z,P000_000221548,73D5F53D-744F-4871-A70B-B2F7B2B1DDA6,17200491704148,"{""bdvs-version"": ""2.0.0"", ""directives"": [{""header"": {""namespace"": ""bdvs.capability.extensions"", ""name"": ""SetResource"", ""dialogRequestId"": ""17200491704148"", ""messageId"": ""17200491704148"", ""shouldBlock"": false}, ""payload"": {""extension"": ""{\""origin\"":{\""query\"":\""强力拖地\"",\""encoding\"":\""utf8\"",\""results\"":[{\""sequence\"":1,\""domain\"":\""roborock_parameter_control\"",\""intent\"":\""set_air_suction\"",\""slots\"":{\""gear\"":[{\""slot_type\"":\""STRING\"",\""text\"":\""强力\"",\""value\"":\""103\""}]}},{\""sequence\"":2,\""domain\"":\""roborock_clean_function\"",\""intent\"":\""start_mop\"",\""slots\"":{}}]}}""}}], ""session"": {""write_session"": true, ""is_dialog_finish"": true, ""is_garbage_query"": false, ""sys_action"": [], ""dialog_state"": null, ""multi_dialog_state"": {""active_domain"": null, ""active_intent"": null, ""requested_slot_values"": {}, ""repeated_ask_num"": 0}, ""third_data"": null}, ""status"": 200, ""timestamp"": 1720049178769}",ResponseNluHandle,"{""payload"": {""extension"": ""{\""origin\"":{\""query\"":\""强力拖地\"",\""encoding\"":\""utf8\"",\""results\"":[{\""sequence\"":1,\""domain\"":\""roborock_parameter_control\"",\""intent\"":\""set_air_suction\"",\""slots\"":{\""gear\"":[{\""slot_type\"":\""STRING\"",\""text\"":\""强力\"",\""value\"":\""103\""}]}},{\""sequence\"":2,\""domain\"":\""roborock_clean_function\"",\""intent\"":\""start_mop\"",\""slots\"":{}}]}}""}, ""query"": ""强力拖地""}",
